equipo;rank;vecino;distancia;peso
Egypt;1;Mexico;1,4792;0,1487
Egypt;2;Chile;1,545;0,1393
Egypt;3;Mali;1,5771;0,1349
Egypt;4;Romania;1,5866;0,1336
Egypt;5;Greece;1,6613;0,124
Egypt;6;Poland;1,6852;0,121
Egypt;7;Panama;1,8778;0,0998
Egypt;8;South Africa;1,8887;0,0987
Argentina;1;Spain;1,4014;0,2127
Argentina;2;Germany;1,7921;0,1439
Argentina;3;France;1,8816;0,1316
Argentina;4;USA;2,0098;0,1157
Argentina;5;Switzerland;2,0519;0,111
Argentina;6;Israel;2,0961;0,1062
Argentina;7;Croatia;2,2212;0,0937
Argentina;8;Portugal;2,3157;0,0852
Ecuador;1;Mexico;1,4371;0,1716
Ecuador;2;Panama;1,6627;0,1369
Ecuador;3;Chile;1,6668;0,1364
Ecuador;4;Brazil;1,7476;0,1258
Ecuador;5;Uruguay;1,7726;0,1227
Ecuador;6;Poland;1,8394;0,1147
Ecuador;7;Bolivia;2,0099;0,0968
Ecuador;8;Luxembourg;2,0258;0,0952
Spain;1;Germany;0,802;0,2355
Spain;2;Argentina;1,4014;0,1293
Spain;3;France;1,4085;0,1284
Spain;4;Croatia;1,4829;0,1192
Spain;5;USA;1,5325;0,1134
Spain;6;Netherlands;1,5755;0,1087
Spain;7;Austria;1,8345;0,0839
Spain;8;Portugal;1,8621;0,0816
Scotland;1;Australia;1,4073;0,1819
Scotland;2;Haiti;1,6459;0,1433
Scotland;3;Jamaica;1,7468;0,1296
Scotland;4;Ireland;1,7765;0,1258
Scotland;5;Italy;1,8684;0,1147
Scotland;6;Serbia;1,9106;0,11
Scotland;7;Morocco;2,0135;0,0992
Scotland;8;Guatemala;2,0517;0,0955
England;1;Portugal;1,4636;0,1984
England;2;Netherlands;1,676;0,1604
England;3;Belgium;1,933;0,1241
England;4;Croatia;2,0248;0,1132
England;5;Norway;2,0274;0,1129
England;6;Spain;2,1444;0,1004
England;7;France;2,1785;0,0971
England;8;Germany;2,2155;0,0935
Czechia;1;Bosnia & Herzegovina;2,4584;0,1998
Czechia;2;Hungary;2,801;0,1418
Czechia;3;China;2,8614;0,1335
Czechia;4;Uzbekistan;2,9113;0,127
Czechia;5;Jordan;3,0759;0,1077
Czechia;6;Iraq;3,1624;0,0988
Czechia;7;Paraguay;3,1634;0,0987
Czechia;8;DR Congo;3,2265;0,0927
Canada;1;Romania;1,9143;0,1783
Canada;2;Uruguay;2,0953;0,1488
Canada;3;Austria;2,2439;0,1283
Canada;4;Colombia;2,3096;0,1201
Canada;5;Tunisia;2,3608;0,1141
Canada;6;Mexico;2,4285;0,1066
Canada;7;Algeria;2,474;0,1019
Canada;8;Bermuda;2,4745;0,1018
Panama;1;Mexico;1,1141;0,1632
Panama;2;Poland;1,2181;0,147
Panama;3;Greece;1,4309;0,1189
Panama;4;Sweden;1,4402;0,1178
Panama;5;Colombia;1,457;0,1158
Panama;6;Haiti;1,4673;0,1146
Panama;7;Suriname;1,482;0,1129
Panama;8;Guatemala;1,5101;0,1098
USA;1;Finland;1,1173;0,1685
USA;2;Switzerland;1,2695;0,1447
USA;3;Croatia;1,2773;0,1436
USA;4;Greece;1,4313;0,1231
USA;5;South Africa;1,4949;0,1155
USA;6;Spain;1,5325;0,1112
USA;7;Russia;1,6649;0,0974
USA;8;Austria;1,6794;0,096
Haiti;1;Panama;1,4673;0,1595
Haiti;2;Guatemala;1,5125;0,1524
Haiti;3;Scotland;1,6459;0,1334
Haiti;4;Colombia;1,7283;0,1228
Haiti;5;Italy;1,7724;0,1175
Haiti;6;Sweden;1,7873;0,1158
Haiti;7;Poland;1,9058;0,1029
Haiti;8;Morocco;1,9787;0,0956
Curaçao;1;Suriname;1,5472;0,1892
Curaçao;2;Bermuda;1,8044;0,1463
Curaçao;3;Panama;1,8399;0,1412
Curaçao;4;Romania;1,9234;0,1299
Curaçao;5;Poland;2,1827;0,1002
Curaçao;6;Jordan;2,1897;0,0995
Curaçao;7;Uzbekistan;2,2063;0,0979
Curaçao;8;Sweden;2,2277;0,0958
Norway;1;Netherlands;1,2836;0,2185
Norway;2;Belgium;1,7116;0,1424
Norway;3;Wales;1,8297;0,1265
Norway;4;Croatia;1,9229;0,1153
Norway;5;USA;1,9671;0,1103
Norway;6;England;2,0274;0,1039
Norway;7;Spain;2,1023;0,0963
Norway;8;Finland;2,2069;0,0868
Bosnia & Herzegovina;1;Hungary;1,4808;0,1823
Bosnia & Herzegovina;2;Venezuela;1,6958;0,147
Bosnia & Herzegovina;3;Jordan;1,7945;0,1332
Bosnia & Herzegovina;4;United Arab Emirates;1,8979;0,1201
Bosnia & Herzegovina;5;Iraq;1,9818;0,1104
Bosnia & Herzegovina;6;Paraguay;2,0029;0,1081
Bosnia & Herzegovina;7;Honduras;2,0469;0,1035
Bosnia & Herzegovina;8;Costa Rica;2,1284;0,0954
Tunisia;1;Algeria;1,7932;0,1438
Tunisia;2;Uruguay;1,7936;0,1437
