"partido_id";"partido_completo";"equipo_nombre";"tipo_equipo";"ball_possession";"expected_goals";"big_chances";"total_shots";"goalkeeper_saves";"corner_kicks";"fouls";"passes";"tackles";"free_kicks";"yellow_cards";"shots_on_target";"hit_woodwork";"shots_off_target";"blocked_shots";"shots_inside_box";"shots_outside_box";"big_chances_scored";"big_chances_missed";"through_balls";"touches_in_penalty_area";"fouled_in_final_third";"offsides";"accurate_passes";"throw-ins";"final_third_entries";"final_third_phase";"long_balls";"crosses";"duels";"dispossessed";"ground_duels";"aerial_duels";"dribbles";"tackles_won";"total_tackles";"interceptions";"recoveries";"clearances";"errors_lead_to_a_goal";"total_saves";"big_saves";"high_claims";"punches";"goal_kicks";"red_cards";"errors_lead_to_a_shot";"penalty_saves";"goals_prevented";"goles"
11275819;"Iran vs Syria";"Syria";"away";43;1,67;1;10;9;2;8;535;15;9;2;4;0;4;2;8;2;1;0;1;17;2;3;419;20;76;67;35;3;48;6;30;20;7;73;15;9;77;32;NA;9;1;1;1;9;0;1;NA;NA;4
11275825;"Iran vs Qatar";"Iran";"home";59;4,44;6;23;3;12;9;341;21;10;2;5;1;9;9;19;4;2;4;NA;41;3;NA;205;28;68;76;34;7;49;9;36;27;6;57;21;2;62;11;NA;3;1;NA;1;9;1;1;NA;NA;2
11275825;"Iran vs Qatar";"Qatar";"away";41;1,45;5;15;2;1;11;257;20;9;2;8;0;6;1;10;5;1;4;NA;18;3;NA;142;25;58;38;21;3;51;8;36;30;7;50;20;8;61;57;NA;2;1;NA;2;8;0;0;NA;NA;3
12475992;"Iran vs Kyrgyzstan";"Iran";"home";67;NA;2;20;6;3;5;621;14;10;NA;3;1;10;7;7;13;1;1;NA;27;3;4;538;30;86;192;43;3;57;9;37;10;13;71;14;3;56;11;0;6;1;0;NA;6;NA;NA;NA;NA;1
12475992;"Iran vs Kyrgyzstan";"Kyrgyzstan";"away";33;NA;1;7;2;3;10;300;16;5;NA;6;0;1;0;2;5;0;1;NA;2;0;0;208;16;51;37;25;1;43;3;28;8;7;75;16;8;54;22;1;2;0;1;NA;17;NA;NA;NA;NA;0
12475988;"United Arab Emirates vs Iran";"United Arab Emirates";"home";60;NA;0;12;2;5;5;457;19;7;0;2;0;5;5;7;5;NA;0;0;20;3;1;389;20;52;86;18;4;57;11;36;16;10;68;19;2;39;18;1;2;2;NA;0;9;NA;NA;NA;NA;0
12475988;"United Arab Emirates vs Iran";"Iran";"away";40;NA;3;12;2;2;7;315;17;5;4;3;0;7;2;8;4;NA;3;1;22;0;1;239;23;44;30;19;2;43;10;27;13;5;59;17;4;37;25;0;2;0;NA;1;10;NA;NA;NA;NA;1
12475985;"Uzbekistan vs Iran";"Uzbekistan";"home";45;NA;1;10;4;2;19;377;14;5;3;1;0;8;1;5;5;NA;1;NA;20;1;2;298;31;48;76;17;4;38;9;22;20;3;71;14;12;62;36;NA;4;NA;NA;1;2;0;NA;NA;NA;0
12475985;"Uzbekistan vs Iran";"Iran";"away";55;NA;1;10;1;5;5;478;23;17;1;5;0;2;3;5;5;NA;1;NA;13;7;0;366;19;57;71;30;2;62;11;45;24;5;65;23;6;56;26;NA;1;NA;NA;0;10;1;NA;NA;NA;0
12475980;"Iran vs Qatar";"Iran";"home";46;NA;4;15;0;3;12;375;13;3;3;6;2;8;1;10;5;3;1;3;27;1;4;303;18;61;79;37;4;47;5;25;14;9;46;13;8;54;11;0;0;NA;1;NA;9;NA;NA;NA;NA;4
12475980;"Iran vs Qatar";"Qatar";"away";54;NA;2;11;2;6;3;441;16;12;0;1;2;5;5;5;6;1;1;0;16;3;2;366;18;38;78;30;2;53;8;35;9;7;63;16;15;51;16;1;2;NA;0;NA;9;NA;NA;NA;NA;1
