partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento_o_jugador;linea_o_target;probabilidad;periodo
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;16.5;0,9402;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;17.5;0,0388;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;17.5;0,9612;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;13.5;0,9112;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;13.5;0,0888;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;14.5;0,8681;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;14.5;0,1319;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;15.5;0,8139;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;15.5;0,1861;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;16.5;0,7495;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;16.5;0,2505;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;17.5;0,6767;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;17.5;0,3233;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;18.5;0,5983;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;18.5;0,4017;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;19.5;0,5174;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;19.5;0,4826;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;20.5;0,4374;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;20.5;0,5626;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;21.5;0,3614;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;21.5;0,6386;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;22.5;0,2917;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;22.5;0,7083;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;23.5;0,2301;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;23.5;0,7699;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;24.5;0,1773;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;24.5;0,8227;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;25.5;0,1336;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;25.5;0,8664;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;26.5;0,0984;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;26.5;0,9016;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;over;27.5;0,071;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;TOTAL;under;27.5;0,929;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;6.5;0,958;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;6.5;0,042;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;7.5;0,9171;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;7.5;0,0829;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;8.5;0,855;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;8.5;0,145;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;9.5;0,771;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;9.5;0,229;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;10.5;0,669;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;10.5;0,331;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;11.5;0,5562;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;11.5;0,4438;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;12.5;0,4419;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;12.5;0,5581;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;13.5;0,3351;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;13.5;0,6649;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;14.5;0,2423;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;14.5;0,7577;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;15.5;0,1671;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;15.5;0,8329;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;16.5;0,11;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;16.5;0,89;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;17.5;0,0692;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;17.5;0,9308;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;over;18.5;0,0416;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;A;under;18.5;0,9584;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;3.5;0,9308;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;3.5;0,0692;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;4.5;0,8493;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;4.5;0,1507;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;5.5;0,7311;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;5.5;0,2689;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;6.5;0,5881;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;6.5;0,4119;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;7.5;0,4398;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;7.5;0,5602;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;8.5;0,3052;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;8.5;0,6948;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;9.5;0,1967;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;9.5;0,8033;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;10.5;0,1179;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;10.5;0,8821;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;11.5;0,0659;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;11.5;0,9341;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;over;12.5;0,0345;FT
