partido_id;fecha;timestamp;torneo;categoria
13233489;2025-10-12;1760294700;World Cup Qual. UEFA C;Europe
13233576;2025-10-14;1760467500;World Cup Qual. UEFA I;Europe
13233577;2025-09-09;1757443500;World Cup Qual. UEFA I;Europe
13233578;2025-09-08;1757357100;World Cup Qual. UEFA L;Europe
13233579;2025-11-17;1763408700;World Cup Qual. UEFA L;Europe
13233580;2025-10-13;1760381100;World Cup Qual. UEFA D;Europe
13233581;2025-10-14;1760467500;World Cup Qual. UEFA F;Europe
13233582;2025-10-13;1760381100;World Cup Qual. UEFA D;Europe
13233583;2025-10-14;1760467500;World Cup Qual. UEFA F;Europe
13233584;2025-11-18;1763495100;World Cup Qual. UEFA H;Europe
13233585;2025-09-09;1757443500;World Cup Qual. UEFA H;Europe
13233586;2025-09-09;1757443500;World Cup Qual. UEFA K;Europe
13233587;2025-11-13;1763063100;World Cup Qual. UEFA K;Europe
13233588;2025-11-15;1763235900;World Cup Qual. UEFA C;Europe
13233589;2025-11-15;1763235900;World Cup Qual. UEFA C;Europe
13233590;2025-10-09;1760035500;World Cup Qual. UEFA H;Europe
13233591;2025-10-09;1760035500;World Cup Qual. UEFA H;Europe
13233592;2025-10-09;1760025600;World Cup Qual. UEFA G;Europe
13233593;2025-10-09;1760035500;World Cup Qual. UEFA G;Europe
13233594;2026-09-26;1790448300;UEFA Nations League, League A, Gr. 3;Europe
13233595;2025-10-09;1760035500;World Cup Qual. UEFA L;Europe
13233596;2025-10-10;1760104800;World Cup Qual. UEFA J;Europe
13233597;2025-11-15;1763235900;World Cup Qual. UEFA B;Europe
13233598;2025-11-15;1763235900;World Cup Qual. UEFA B;Europe
13233599;2025-11-14;1763149500;World Cup Qual. UEFA A;Europe
13233600;2025-11-14;1763149500;World Cup Qual. UEFA A;Europe
13233601;2025-11-16;1763312400;World Cup Qual. UEFA D;Europe
13233602;2025-11-16;1763312400;World Cup Qual. UEFA D;Europe
13233603;2025-10-10;1760121900;World Cup Qual. UEFA J;Europe
13233604;2025-10-11;1760187600;World Cup Qual. UEFA K;Europe
13233606;2025-10-11;1760198400;World Cup Qual. UEFA I;Europe
13233607;2025-11-15;1763226000;World Cup Qual. UEFA E;Europe
13233608;2025-11-15;1763226000;World Cup Qual. UEFA E;Europe
13233609;2025-11-13;1763063100;World Cup Qual. UEFA F;Europe
13233610;2025-10-11;1760208300;World Cup Qual. UEFA I;Europe
13233611;2025-10-11;1760208300;World Cup Qual. UEFA K;Europe
13233612;2025-10-12;1760274000;World Cup Qual. UEFA H;Europe
13233613;2025-10-12;1760284800;World Cup Qual. UEFA C;Europe
13233614;2025-10-12;1760284800;World Cup Qual. UEFA L;Europe
13233626;2025-10-12;1760294700;World Cup Qual. UEFA C;Europe
13233627;2025-10-12;1760294700;World Cup Qual. UEFA H;Europe
13233628;2025-10-12;1760294700;World Cup Qual. UEFA G;Europe
13233629;2025-10-12;1760284800;World Cup Qual. UEFA G;Europe
13233630;2025-10-12;1760294700;World Cup Qual. UEFA L;Europe
13233631;2026-09-24;1790275500;UEFA Nations League, League B, Gr. 1;Europe
13233632;2025-10-13;1760381100;World Cup Qual. UEFA B;Europe
13233633;2025-10-13;1760381100;World Cup Qual. UEFA A;Europe
13233634;2025-10-13;1760381100;World Cup Qual. UEFA A;Europe
13233635;2025-10-13;1760381100;World Cup Qual. UEFA D;Europe
13233636;2025-10-13;1760381100;World Cup Qual. UEFA D;Europe
13233637;2025-10-13;1760381100;World Cup Qual. UEFA J;Europe
13233638;2025-10-13;1760381100;World Cup Qual. UEFA J;Europe
13233639;2025-10-14;1760467500;World Cup Qual. UEFA E;Europe
13233640;2025-10-14;1760467500;World Cup Qual. UEFA E;Europe
13233641;2025-10-14;1760467500;World Cup Qual. UEFA F;Europe
13233642;2025-10-14;1760467500;World Cup Qual. UEFA F;Europe
13233644;2025-10-14;1760457600;World Cup Qual. UEFA I;Europe
13233645;2025-10-14;1760467500;World Cup Qual. UEFA I;Europe
13233646;2025-10-14;1760467500;World Cup Qual. UEFA K;Europe
13233647;2025-10-14;1760467500;World Cup Qual. UEFA K;Europe
13233648;2025-11-13;1763053200;World Cup Qual. UEFA D;Europe
13233650;2025-11-13;1763053200;World Cup Qual. UEFA I;Europe
13233651;2025-11-13;1763063100;World Cup Qual. UEFA F;Europe
13233652;2025-11-13;1763063100;World Cup Qual. UEFA I;Europe
13233653;2025-11-13;1763063100;World Cup Qual. UEFA K;Europe
13233654;2025-11-13;1763063100;World Cup Qual. UEFA K;Europe
13233655;2025-11-13;1763063100;World Cup Qual. UEFA D;Europe
13233656;2025-11-14;1763139600;World Cup Qual. UEFA G;Europe
13233657;2025-11-14;1763149500;World Cup Qual. UEFA A;Europe
13233658;2025-11-14;1763149500;World Cup Qual. UEFA A;Europe
13233659;2025-11-14;1763149500;World Cup Qual. UEFA G;Europe
13233660;2025-11-14;1763149500;World Cup Qual. UEFA L;Europe
13233661;2025-11-14;1763149500;World Cup Qual. UEFA L;Europe
13233662;2025-11-15;1763215200;World Cup Qual. UEFA J;Europe
13233663;2025-11-15;1763226000;World Cup Qual. UEFA E;Europe
13233664;2025-11-15;1763226000;World Cup Qual. UEFA E;Europe
13233665;2025-11-15;1763226000;World Cup Qual. UEFA H;Europe
13233666;2025-11-15;1763226000;World Cup Qual. UEFA J;Europe
13233667;2025-11-15;1763235900;World Cup Qual. UEFA B;Europe
13233668;2025-11-15;1763235900;World Cup Qual. UEFA B;Europe
13233669;2025-11-15;1763235900;World Cup Qual. UEFA C;Europe
13233670;2025-11-15;1763235900;World Cup Qual. UEFA C;Europe
13233671;2026-09-28;1790621100;UEFA Nations League, League B, Gr. 4;Europe
13233672;2025-11-16;1763301600;World Cup Qual. UEFA F;Europe
13233673;2025-11-16;1763301600;World Cup Qual. UEFA F;Europe
13233674;2025-11-16;1763312400;World Cup Qual. UEFA D;Europe
13233675;2025-11-16;1763312400;World Cup Qual. UEFA D;Europe
13233676;2025-11-16;1763312400;World Cup Qual. UEFA K;Europe
13233677;2025-11-16;1763312400;World Cup Qual. UEFA K;Europe
13233678;2025-11-16;1763322300;World Cup Qual. UEFA I;Europe
13233679;2025-11-16;1763322300;World Cup Qual. UEFA I;Europe
13233680;2025-11-17;1763408700;World Cup Qual. UEFA A;Europe
13233681;2025-11-17;1763408700;World Cup Qual. UEFA A;Europe
13233682;2025-11-17;1763408700;World Cup Qual. UEFA G;Europe
13233683;2025-11-17;1763408700;World Cup Qual. UEFA G;Europe
13233684;2025-11-17;1763408700;World Cup Qual. UEFA L;Europe
13233686;2025-11-17;1763408700;World Cup Qual. UEFA L;Europe
13233687;2025-11-18;1763495100;World Cup Qual. UEFA B;Europe
13233688;2025-11-18;1763495100;World Cup Qual. UEFA B;Europe
13233689;2025-11-18;1763495100;World Cup Qual. UEFA C;Europe
13233690;2025-11-18;1763495100;World Cup Qual. UEFA C;Europe
13233691;2025-11-18;1763495100;World Cup Qual. UEFA E;Europe
13233692;2025-11-18;1763495100;World Cup Qual. UEFA E;Europe
13233693;2025-11-18;1763495100;World Cup Qual. UEFA H;Europe
13233694;2025-11-18;1763495100;World Cup Qual. UEFA H;Europe
13233695;2025-11-18;1763495100;World Cup Qual. UEFA J;Europe
13233696;2025-11-18;1763495100;World Cup Qual. UEFA J;Europe
13324466;2025-01-18;1737230400;Int. Friendly Games;World
13343376;2025-06-29;1751238000;CONCACAF Gold Cup, Knockout stage;North & Central America
13424932;2025-12-21;1766343600;Africa Cup of Nations, Group A;Africa
13424933;2025-12-22;1766412000;Africa Cup of Nations, Group A;Africa
13424935;2025-12-22;1766433600;Africa Cup of Nations, Group B;Africa
13424936;2025-12-22;1766422800;Africa Cup of Nations, Group B;Africa
13424937;2025-12-23;1766511000;Africa Cup of Nations, Group C;Africa
13424938;2025-12-23;1766520000;Africa Cup of Nations, Group C;Africa
13424939;2025-12-23;1766502000;Africa Cup of Nations, Group D;Africa
13424940;2025-12-23;1766493000;Africa Cup of Nations, Group D;Africa
13424941;2025-12-24;1766588400;Africa Cup of Nations, Group E;Africa
13424942;2025-12-24;1766579400;Africa Cup of Nations, Group E;Africa
13424943;2025-12-24;1766597400;Africa Cup of Nations, Group F;Africa
13424944;2025-12-24;1766606400;Africa Cup of Nations, Group F;Africa
13424945;2025-12-26;1766779200;Africa Cup of Nations, Group A;Africa
13424946;2025-12-26;1766770200;Africa Cup of Nations, Group A;Africa
13424947;2025-12-26;1766761200;Africa Cup of Nations, Group B;Africa
13424948;2025-12-26;1766752200;Africa Cup of Nations, Group B;Africa
13424949;2025-12-27;1766865600;Africa Cup of Nations, Group C;Africa
13424950;2026-06-05;1780660800;Int. Friendly Games;World
13424951;2025-12-27;1766847600;Africa Cup of Nations, Group D;Africa
13424953;2025-12-27;1766838600;Africa Cup of Nations, Group D;Africa
13424954;2025-12-28;1766943000;Africa Cup of Nations, Group E;Africa
13424955;2025-12-28;1766934000;Africa Cup of Nations, Group E;Africa
13424956;2025-12-28;1766952000;Africa Cup of Nations, Group F;Africa
13424957;2025-12-28;1766925000;Africa Cup of Nations, Group F;Africa
13424958;2025-12-29;1767034800;Africa Cup of Nations, Group A;Africa
13424959;2025-12-29;1767034800;Africa Cup of Nations, Group A;Africa
13424960;2025-12-29;1767024000;Africa Cup of Nations, Group B;Africa
13424961;2025-12-29;1767024000;Africa Cup of Nations, Group B;Africa
13424963;2025-12-30;1767110400;Africa Cup of Nations, Group C;Africa
13424964;2025-12-30;1767110400;Africa Cup of Nations, Group C;Africa
13424965;2025-12-30;1767121200;Africa Cup of Nations, Group D;Africa
13424966;2025-12-30;1767121200;Africa Cup of Nations, Group D;Africa
13424967;2025-12-31;1767196800;Africa Cup of Nations, Group E;Africa
13424968;2025-12-31;1767196800;Africa Cup of Nations, Group E;Africa
13424969;2025-12-31;1767207600;Africa Cup of Nations, Group F;Africa
13424970;2025-12-31;1767207600;Africa Cup of Nations, Group F;Africa
13446063;2025-02-08;1739057400;Int. Friendly Games;World
13563695;2025-03-21;1742586300;Int. Friendly Games;World
13563699;2025-03-25;1742931900;Int. Friendly Games;World
13640812;2025-03-20;1742493600;Int. Friendly Games;World
13649218;2025-03-23;1742767200;CONCACAF Nations League, Finals;North & Central America
13649219;2026-01-23;1769130000;Int. Friendly Games;World
13755485;2025-06-15;1749953700;CONCACAF Gold Cup, Group A;North & Central America
13755487;2025-06-19;1750298400;CONCACAF Gold Cup, Group A;North & Central America
13755494;2025-06-23;1750644000;CONCACAF Gold Cup, Group A;North & Central America
13755496;2025-06-18;1750213800;CONCACAF Gold Cup, Group B;North & Central America
13755499;2025-06-21;1750546800;CONCACAF Gold Cup, Group B;North & Central America
13755501;2025-06-25;1750816800;CONCACAF Gold Cup, Group B;North & Central America
13755502;2025-06-16;1750114800;CONCACAF Gold Cup, Group C;North & Central America
13755503;2025-06-17;1750125600;CONCACAF Gold Cup, Group C;North & Central America
13755504;2025-11-14;1763085600;World Cup Qual. CONCACAF Group A;North & Central America
13755506;2025-06-24;1750806000;CONCACAF Gold Cup, Group C;North & Central America
13755507;2025-06-24;1750806000;CONCACAF Gold Cup, Group C;North & Central America
13755508;2025-06-15;1750024800;CONCACAF Gold Cup, Group D;North & Central America
13755509;2025-06-16;1750032900;CONCACAF Gold Cup, Group D;North & Central America
13755511;2025-06-19;1750373100;CONCACAF Gold Cup, Group D;North & Central America
13755512;2025-06-20;1750382100;CONCACAF Gold Cup, Group D;North & Central America
13755513;2025-06-22;1750633200;CONCACAF Gold Cup, Group D;North & Central America
13856220;2025-06-05;1749164400;World Cup Qualification, CONMEBOL;South America
13856221;2025-06-05;1749164400;World Cup Qualification, CONMEBOL;South America
13856222;2025-06-06;1749241800;World Cup Qualification, CONMEBOL;South America
13856223;2025-06-06;1749171600;World Cup Qualification, CONMEBOL;South America
13856224;2025-06-11;1749600000;World Cup Qualification, CONMEBOL;South America
13856225;2025-06-06;1749247200;World Cup Qualification, CONMEBOL;South America
13856226;2025-06-11;1749605400;World Cup Qualification, CONMEBOL;South America
13856227;2025-06-10;1749585600;World Cup Qualification, CONMEBOL;South America
13856228;2025-06-10;1749596400;World Cup Qualification, CONMEBOL;South America
13856229;2025-06-11;1749602700;World Cup Qualification, CONMEBOL;South America
13878564;2025-06-10;1749581100;Int. Friendly Games;World
13878567;2025-06-10;1749574800;Int. Friendly Games;World
13878568;2025-06-10;1749574800;Int. Friendly Games;World
13888378;2025-06-07;1749326400;Int. Friendly Games;World
13888379;2025-06-07;1749315600;Int. Friendly Games;World
13888415;2025-06-11;1749603600;Int. Friendly Games;World
13888416;2025-09-04;1757001600;Int. Friendly Games;World
13889925;2025-06-07;1749324600;Int. Friendly Games;World
13889926;2026-06-26;1782439200;FIFA World Cup, Group D;World
13894329;2025-06-06;1749240000;Int. Friendly Games;World
13931255;2025-06-09;1749495600;Int. Friendly Games;World
13938605;2025-07-07;1751886000;EAFF E-1 Football Championship;Asia
13938606;2025-07-08;1751970240;EAFF E-1 Football Championship;Asia
13938607;2025-07-11;1752231600;EAFF E-1 Football Championship;Asia
13938608;2025-07-12;1752315840;EAFF E-1 Football Championship;Asia
13938609;2025-07-15;1752562800;EAFF E-1 Football Championship;Asia
13938610;2025-07-15;1752575040;EAFF E-1 Football Championship;Asia
13938617;2025-06-04;1749052800;COSAFA Cup, Group A;Africa
13938618;2025-06-10;1749576600;Int. Friendly Games;World
13938623;2025-06-07;1749290400;COSAFA Cup, Group A;Africa
13938624;2025-12-29;1767024000;Africa Cup of Nations, Group B;Africa
13938629;2025-06-09;1749474000;COSAFA Cup, Group C;Africa
13938639;2025-06-10;1749560400;COSAFA Cup, Group A;Africa
13952138;2025-06-06;1749235500;Int. Friendly Games;World
13957333;2025-10-15;1760493600;World Cup Qual. CONCACAF Group A;North & Central America
13963151;2025-06-11;1749601800;Int. Friendly Games;World
13963590;2025-06-11;1749646800;COSAFA Cup, Group C;Africa
13974678;2025-06-09;1749499200;Int. Friendly Games;World
13974681;2025-06-11;1749600000;Int. Friendly Games;World
13975700;2025-06-06;1749231000;Int. Friendly Games;World
13982214;2025-11-26;1764162000;Arab Cup, Qualification;World
13988156;2025-06-10;1749576600;Int. Friendly Games;World
13988174;2025-06-09;1749495600;Int. Friendly Games;World
13999954;2025-06-13;1749830400;COSAFA Cup, Knockout stage;Africa
14000197;2025-07-02;1751497200;CONCACAF Gold Cup, Knockout stage;North & Central America
14000198;2025-07-03;1751508000;CONCACAF Gold Cup, Knockout stage;North & Central America
14000199;2025-06-29;1751238000;CONCACAF Gold Cup, Knockout stage;North & Central America
14000200;2025-06-28;1751152500;CONCACAF Gold Cup, Knockout stage;North & Central America
14000201;2025-06-29;1751163300;CONCACAF Gold Cup, Knockout stage;North & Central America
14000202;2025-07-06;1751842800;CONCACAF Gold Cup, Knockout stage;North & Central America
14000203;2026-01-18;1768705200;Int. Friendly Games;World
14008248;2025-12-22;1766422800;Africa Cup of Nations, Group B;Africa
14058088;2026-01-03;1767466800;Africa Cup of Nations, Knockout stage;Africa
14058090;2026-01-05;1767628800;Africa Cup of Nations, Knockout stage;Africa
14058091;2026-01-17;1768665600;Africa Cup of Nations, Knockout stage;Africa
14058092;2026-01-04;1767553200;Africa Cup of Nations, Knockout stage;Africa
14058093;2026-01-10;1768060800;Africa Cup of Nations, Knockout stage;Africa
14058094;2026-01-10;1768071600;Africa Cup of Nations, Knockout stage;Africa
14058095;2026-01-06;1767726000;Africa Cup of Nations, Knockout stage;Africa
14058096;2026-01-09;1767985200;Africa Cup of Nations, Knockout stage;Africa
14058097;2026-01-09;1767974400;Africa Cup of Nations, Knockout stage;Africa
