"partido_id";"partido_completo";"jugador";"home_team";"away_team";"totalPass";"accuratePass";"totalLongBalls";"accurateLongBalls";"goalAssist";"accurateOwnHalfPasses";"totalOwnHalfPasses";"accurateOppositionHalfPasses";"totalOppositionHalfPasses";"totalClearance";"ballRecovery";"saves";"punches";"minutesPlayed";"touches";"rating";"possessionLostCtrl";"totalShots";"totalCross";"accurateCross";"aerialLost";"duelLost";"duelWon";"bigChanceCreated";"totalTackle";"wasFouled";"fouls";"keyPass";"dispossessed";"totalContest";"bigChanceMissed";"shotOffTarget";"onTargetScoringAttempt";"blockedScoringAttempt";"goals";"interceptionWon";"unsuccessfulTouch";"totalOffside";"aerialWon";"wonContest";"totalBallCarriesDistance";"ballCarriesCount";"totalProgression";"bestBallCarryProgression";"totalProgressiveBallCarriesDistance";"progressiveBallCarriesCount";"savedShotsFromInsideTheBox";"penaltyFaced";"challengeLost";"outfielderBlock";"wonTackle";"penaltyConceded";"shotValueNormalized";"passValueNormalized";"dribbleValueNormalized";"defensiveValueNormalized";"ownGoals";"keeperSaveValue";"goalkeeperValueNormalized";"penaltyShootoutGoal";"penaltyShootoutMiss";"goodHighClaim";"hitWoodwork";"penaltyMiss";"errorLeadToAGoal";"expectedGoals";"expectedGoalsOnTarget";"expectedAssists";"totalKeeperSweeper";"accurateKeeperSweeper";"penaltySave";"penaltyWon";"errorLeadToAShot";"goalsPrevented";"penaltyShootoutSave";"clearanceOffLine";"lastManTackle";"crossNotClaimed"
14925456;"Brazil vs Senegal";"Sadio Mané";"Brazil";"Senegal";14;14;1;1;0;5;5;9;9;1;1;0;0;75;26;6,7;6;2;1;0;1;6;2;0;0;0;2;1;2;3;0;1;0;1;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14925483;"Brazil vs Tunisia";"Bruno Guimarães";"Brazil";"Tunisia";37;35;3;3;0;17;17;18;20;1;4;0;0;60;48;7,2;5;1;3;0;1;3;4;0;2;1;2;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14925483;"Brazil vs Tunisia";"Vinicius Júnior";"Brazil";"Tunisia";31;25;3;1;0;0;2;25;29;0;5;0;0;90;46;7;9;5;2;1;0;1;2;0;0;0;0;0;0;3;0;1;0;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15341366;"Brazil vs France";"Raphinha";"Brazil";"France";6;3;0;0;0;1;1;2;5;1;1;0;0;45;15;6,2;5;1;2;1;1;6;0;1;0;0;3;1;1;0;1;1;0;0;0;0;0;0;0;0;26,833080003866;4;13,15603049655;0;0;0;0;0;1;0;0;0;-0,18;0,14;0,14;-0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15341366;"Brazil vs France";"Vinicius Júnior";"Brazil";"France";30;22;0;0;0;2;2;20;28;0;4;0;0;90;52;6,7;18;2;3;0;1;6;6;0;1;3;0;3;0;6;1;1;0;1;0;0;2;1;0;2;233,93885015411;22;154,09280881773;19,096693053252;136,26626891528;8;0;0;1;0;1;0;-0,52;0,05;0,3;-0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15341366;"Brazil vs France";"Mike Maignan";"Brazil";"France";37;27;17;7;0;23;24;4;13;1;9;3;0;90;48;6,6;11;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,682328869899;6;4,2748112145041;0;0;0;1;0;0;0;0;0;0;0,13;-0,01;0,16;0;0,1175;-0,58;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;NA
15341366;"Brazil vs France";"Aurélien Tchouaméni";"Brazil";"France";32;30;1;1;0;11;11;19;21;0;2;0;0;58;37;7;3;0;0;0;0;1;2;0;0;1;0;1;1;1;0;0;0;0;0;2;0;0;0;1;44,103795870447;8;8,4786084438502;0;0;0;0;0;0;0;0;0;0;0,27;0,06;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15341366;"Brazil vs France";"Kylian Mbappé";"Brazil";"France";20;14;1;1;0;2;3;12;17;0;3;0;0;66;31;7,2;10;3;1;0;0;2;2;0;0;0;0;1;0;4;0;2;1;0;1;0;1;2;0;2;89,938570941249;10;71,588053138491;17,690605331147;41,034958199258;3;0;0;0;0;0;0;0,43;-0,51;0,31;-0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15332282;"Croatia vs Brazil";"Vinicius Júnior";"Croatia";"Brazil";30;26;2;2;1;8;9;18;21;0;2;0;0;67;41;7,1;10;0;1;0;0;5;3;0;0;1;1;4;2;3;0;0;0;0;0;0;1;0;0;2;207,26475783587;21;-69,857788014833;0;0;0;0;0;1;0;0;0;0;0,43;0,32;-0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
11774477;"Uruguay vs Bolivia";"Federico Valverde";"Uruguay";"Bolivia";83;74;4;2;0;8;9;67;76;0;7;0;0;90;97;7,4;12;3;2;1;0;2;3;0;2;0;1;2;0;2;1;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
