partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento;linea;periodo;cuota_media;cuota_max;prob_implicita;n_casas
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;2.5;FT;2,09;2,21;0,4493;12
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;2.5;FT;1,705;1,77;0,5507;12
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;3.0;FT;3,0;3,0;0,3151;1
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;3.0;FT;1,38;1,38;0,6849;1
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;gana_A;-;FT;3,47;3,6;0,2757;24
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;empate;-;FT;3,4;3,53;0,2814;24
PAN_GHA;2026-06-18;Panama;Ghana;1X2;-;gana_B;-;FT;2,16;2,28;0,4429;24
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.25;FT;2,04;2,04;0,4756;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.25;FT;1,85;1,85;0,5244;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.0;FT;1,71;1,73;0,5535;3
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.0;FT;2,12;2,23;0,4465;3
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;2.5;FT;2,255;2,4;0,4203;10
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;2.5;FT;1,635;1,69;0,5797;10
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;over;1.5;FT;1,43;1,43;0,6659;1
PAN_GHA;2026-06-18;Panama;Ghana;goles;TOTAL;under;1.5;FT;2,85;2,85;0,3341;1
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;gana_A;-;FT;1,38;1,42;0,6907;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;empate;-;FT;4,7;4,9;0,2028;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;1X2;-;gana_B;-;FT;8,95;10,5;0,1065;24
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;over;2.5;FT;1,94;2,02;0,4881;14
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;under;2.5;FT;1,85;1,95;0,5119;14
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;over;2.0;FT;1,48;1,48;0,6501;1
COL_UZB;2026-06-18;Colombia;Uzbekistan;goles;TOTAL;under;2.0;FT;2,75;2,75;0,3499;1
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;gana_A;-;FT;4,625;5,0;0,206;24
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;empate;-;FT;3,75;4,0;0,2541;24
RSA_CZE;2026-06-18;South Africa;Czechia;1X2;-;gana_B;-;FT;1,765;1,82;0,5399;24
RSA_CZE;2026-06-18;South Africa;Czechia;goles;TOTAL;over;2.5;FT;2,08;2,12;0,4569;13
RSA_CZE;2026-06-18;South Africa;Czechia;goles;TOTAL;under;2.5;FT;1,75;1,8;0,5431;13
RSA_CZE;2026-06-18;South Africa;Czechia;goles;TOTAL;over;2.25;FT;1,85;1,85;0,5256;1
RSA_CZE;2026-06-18;South Africa;Czechia;goles;TOTAL;under;2.25;FT;2,05;2,05;0,4744;1
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;1X2;-;gana_A;-;FT;1,57;1,62;0,6081;21
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;1X2;-;empate;-;FT;4,1;4,3;0,2328;21
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;1X2;-;gana_B;-;FT;6,0;6,6;0,1591;21
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;over;2.5;FT;2,05;2,14;0,4548;9
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;under;2.5;FT;1,71;1,8;0,5452;9
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;over;2.25;FT;1,9;1,9;0,4974;1
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;under;2.25;FT;1,88;1,88;0,5026;1
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;over;2.0;FT;1,53;1,53;0,6295;1
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;goles;TOTAL;under;2.0;FT;2,6;2,6;0,3705;1
QAT_CAN;2026-06-19;Qatar;Canada;1X2;-;gana_A;-;FT;11,0;14,0;0,086;21
QAT_CAN;2026-06-19;Qatar;Canada;1X2;-;empate;-;FT;5,6;6,25;0,169;21
QAT_CAN;2026-06-19;Qatar;Canada;1X2;-;gana_B;-;FT;1,27;1,31;0,745;21
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;over;2.5;FT;1,79;1,83;0,5277;10
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;under;2.5;FT;2,0;2,16;0,4723;10
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;over;2.75;FT;2,01;2,01;0,4711;1
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;under;2.75;FT;1,79;1,79;0,5289;1
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;over;2.0;FT;1,34;1,34;0,7173;1
