mercado;etiqueta;fuente;n;brier;acierto;ece;cob80;bins_json
won_tackles;Entradas ganadas O/U;backtest;15932;0.2338;0.6436;0.1014;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11350028074115666, ""real"": 0.24892382556616133, ""n"": 5343}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2946072346313501, ""real"": 0.32793042103182446, ""n"": 5059}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49096042380803995, ""real"": 0.427547522592708, ""n"": 3209}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.689258064516129, ""real"": 0.49560117302052786, ""n"": 1705}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8761217532467533, ""real"": 0.5681818181818182, ""n"": 616}]"
interceptions;Intercepciones O/U;backtest;14624;0.228;0.6574;0.1023;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11086038011695908, ""real"": 0.22989766081871346, ""n"": 5472}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29395873233014136, ""real"": 0.33561331509347925, ""n"": 4386}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49266593886462884, ""real"": 0.4188500727802038, ""n"": 2748}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6860961416824793, ""real"": 0.49082858950031627, ""n"": 1581}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.878421052631579, ""real"": 0.5354691075514875, ""n"": 437}]"
dispossessed;Robos sufridos O/U;backtest;14122;0.217;0.6746;0.0844;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11090187617260787, ""real"": 0.21069418386491556, ""n"": 5330}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2889559266991417, ""real"": 0.30109023428438875, ""n"": 4311}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4906786136274124, ""real"": 0.42339503741630563, ""n"": 2539}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6880271966527197, ""real"": 0.4916317991631799, ""n"": 1434}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8711318897637794, ""real"": 0.5669291338582677, ""n"": 508}]"
clearances;Despejes O/U;backtest;22141;0.2413;0.6275;0.1031;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11514025898443184, ""real"": 0.28444638440273534, ""n"": 6873}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29530039767513, ""real"": 0.39492199449372895, ""n"": 6538}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49504358247984315, ""real"": 0.4979298322074526, ""n"": 4589}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.691240206185567, ""real"": 0.5938144329896907, ""n"": 2910}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8778164094232332, ""real"": 0.7384240454914703, ""n"": 1231}]"
aerials_won;Duelos aéreos O/U;backtest;18140;0.2303;0.6556;0.0996;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1132988110137672, ""real"": 0.2503128911138924, ""n"": 6392}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29438006820765444, ""real"": 0.3472906403940887, ""n"": 5278}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.493528242074928, ""real"": 0.4423631123919308, ""n"": 3470}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6890123986647592, ""real"": 0.5598474010491178, ""n"": 2097}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8778217054263566, ""real"": 0.6522702104097453, ""n"": 903}]"
blocks;Bloqueos O/U;backtest;7490;0.1682;0.7685;0.0782;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09987969385314519, ""real"": 0.1415929203539823, ""n"": 4181}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2861823647294589, ""real"": 0.24549098196392785, ""n"": 1996}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.48398150289017344, ""real"": 0.28208092485549136, ""n"": 865}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6867898089171974, ""real"": 0.37579617834394907, ""n"": 314}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9003432835820895, ""real"": 0.4701492537313433, ""n"": 134}]"
fouls;Faltas cometidas O/U;backtest;17360;0.2462;0.6149;0.1113;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11273900350330866, ""real"": 0.2753989879330479, ""n"": 5138}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29648117236024846, ""real"": 0.3847049689440994, ""n"": 5152}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4937881761006289, ""real"": 0.4716981132075472, ""n"": 3975}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6885567236092861, ""real"": 0.5400788436268068, ""n"": 2283}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8728879310344827, ""real"": 0.6083743842364532, ""n"": 812}]"
shots_off_target;Tiros fuera O/U;backtest;10743;0.1946;0.7284;0.0904;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1093203066566941, ""real"": 0.1918474195961107, ""n"": 5348}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2867476525821596, ""real"": 0.261443661971831, ""n"": 3408}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4884453781512605, ""real"": 0.3155080213903743, ""n"": 1309}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6813285457809695, ""real"": 0.39676840215439857, ""n"": 557}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8920165289256199, ""real"": 0.4049586776859504, ""n"": 121}]"
shots_blocked;Tiros bloqueados O/U;backtest;8032;0.1742;0.7673;0.0896;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10275584415584416, ""real"": 0.16818181818181818, ""n"": 4620}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2833591234347048, ""real"": 0.2262969588550984, ""n"": 2236}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.48336301369863016, ""real"": 0.2876712328767123, ""n"": 876}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.674432, ""real"": 0.328, ""n"": 250}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8882200000000001, ""real"": 0.26, ""n"": 50}]"
dribbles;Regates O/U;backtest;12980;0.2092;0.6917;0.0915;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1097219739292365, ""real"": 0.2048417132216015, ""n"": 5370}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2922997241033359, ""real"": 0.27715073990469025, ""n"": 3987}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49154808126410837, ""real"": 0.3796839729119639, ""n"": 2215}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6846211699164345, ""real"": 0.4401114206128134, ""n"": 1077}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8770453172205439, ""real"": 0.5589123867069486, ""n"": 331}]"
offsides;Fueras de juego O/U;backtest;5015;0.1343;0.8241;0.065;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09567122861586314, ""real"": 0.10824261275272162, ""n"": 3215}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2765916808149406, ""real"": 0.18590831918505943, ""n"": 1178}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4861453362255965, ""real"": 0.21691973969631237, ""n"": 461}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.679304964539007, ""real"": 0.3617021276595745, ""n"": 141}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8815500000000001, ""real"": 0.4, ""n"": 20}]"
big_chances_missed;Ocasiones falladas O/U;backtest;4454;0.114;0.8617;0.0559;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09130208009934802, ""real"": 0.09717479043775225, ""n"": 3221}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.27531538461538463, ""real"": 0.14835164835164835, ""n"": 910}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4933140495867768, ""real"": 0.19008264462809918, ""n"": 242}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6670588235294117, ""real"": 0.20588235294117646, ""n"": 68}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8936153846153846, ""real"": 0.15384615384615385, ""n"": 13}]"
