jugador;partidos_amonestado
Jón Dagur Þórsteinsson;2
Jørgen Strand Larsen;1
Kaan Ayhan;4
Kaan Kairinen;1
Kabaso Chongo;3
Kabelo Seakanyeng;2
Kael Richards;1
Kaheim Dixon;1
Kai Merk;1
Kai Trewin;1
Kalidou Koulibaly;3
Kamal Miller;1
Kamo Hovhannisyan;1
Kamogelo Sebelebele;2
Kamory Doumbia;1
Kang-in Lee;2
Kaoru Mitoma;1
Karim Adeyemi;4
Karim Boudiaf;1
Karim El Berkaoui;1
Karim El Eraki;2
Karol Mets;1
Karol Świderski;2
Kasey Palmer;1
Kasper Dolberg;1
Kasper Schmeichel;1
Kassim M'Dahoma;1
Kawabe Hayao;1
Keagan Dolly;1
Keanu Baccus;2
Kelve Semedo;1
Kelvin Kampamba;1
Kelvin Kapumbu;1
Kelvin Mwanza;1
Kelzang Jigme;1
Kenan Toibibou;2
Kenan Yıldız;4
Kendry Páez;2
Kennedy Amutenya;1
Kenneth Paal;2
Kenneth Semakula;2
Kenneth Vargas;2
Kenny Rocha Santos;1
Kerem Aktürkoğlu;7
Kerim Alajbegović;1
Kervin Arriaga;3
Kevin Castañeda;1
Kevin Castaño;3
Kevin Danso;1
Kevin De Bruyne;1
Kevin Deeromram;1
Kevin Felida;1
Kevin Lenini;5
Kevin Molino;1
Kevin Quevedo;1
Kevor Palumets;1
Keyns Abdala;1
Keziah Martin;1
Khaled Aldhanhani;1
Khaled Sobhi;1
Khalid Al-Braiki;1
Khalid Aucho;1
Khalid Baba;1
Khalid Muneer;1
Khalil Ayari;1
Khalil Khamis;1
Khanyakwezwe Shabalala;1
Khozhiakbar Alizhonov;1
Khozhimat Erkinov;1
Khuliso Mudau;1
Khulumani Ndamane;1
Kialonda Gaspar;1
Kian Ronan;2
Kieffer Moore;1
Kieran Tierney;1
Kieran Trippier;1
Kim Min-jae;1
Kinito;1
Kirill Pechenin;2
Kitika Jemma;1
Kitso Mangolo;1
Klaus Gjasula;1
Klousseh Agbozo;1
Knowledge Musona;1
Ko Itakura;2
Koketso Majafi;1
Koki Machida;1
Koki Ogawa;2
Konrad Laimer;5
Konstantinos Koulierakis;3
Konstantinos Laifis;2
Konstantinos Mavropanos;1
Kosta Nedeljković;1
Kostas Pileas;2
Kostas Tsimikas;1
Kouame Autonne;1
Kreshnik Hajrizi;1
Kristers Tobers;2
Kristian Dimitrov;1
Kristijan Belić;1
Kristijan Jakić;1
Kristjan Asllani;1
Kristoffer Ajer;1
Krzysztof Piątek;3
Krépin Diatta;2
Kuk Chol Jang;1
Kuk-chol Kang;2
Kurai Musanhi;1
Kurt Shaw;1
Kwakhe Thwala;1
Kwanda Mngonyama;3
Kwasi Sibo;2
Kye Rowles;2
Kye Tam;1
Kyle Walker;1
Kylian Mbappé;4
Kymani Nedd;1
Ladislav Krejčí;3
Lameck Banda;1
Lamine Ba;1
Lamine Camara;1
Lamine Yamal;3
Laros Duarte;1
Lassine Sinayoko;2
Laurent Jans;2
Lautaro Martínez;2
Lawrence Mulenga;1
Lazar Samardžić;1
Lazaros Rota;2
Leandro Bacuna;2
Leandro Barreiro;2
Leandro Paredes;3
Leandro Trossard;1
Lebogang Ditsele;3
Lee Bonis;1
Lee Tae-seok;3
Lehlohonolo Matsau;1
Lejuan Simmons;1
Leo Østigård;1
Leon Avdullahu;1
Leon Bailey;1
Leon Goretzka;1
Leon Jones;1
Leonardo Balerdi;1
Leonardo Zabala;1
Leonidas Stergiou;1
Leopold Querfeld;2
Lev Skvortsov;1
Leverton Pierre;3
Levi Colwill;1
Lewis Ferguson;3
Lewis Koumas;1
Li Lei;1
Liam Cullen;1
Liam Millar;2
Liam Scales;2
Liberato Cacace;2
Lin Liangming;1
Lindo Thembinkosi Mkhonta;3
Lindon Emërllahu;1
Lindsay Rose;1
Lionel Tan;1
Lirim Qamili;1
Lisandro Martínez;1
Liu Haofan;2
Livano Comenencia;1
Lloyd Aaron;1
Logan Costa;3
Logan Jimenez;1
Logi Tomasson;2
Loic Négo;1
Loizos Loizou;1
Lolendo Mansanga;1
Lorenzo Capicchioni;4
Lorenzo Lazzari;1
Louicius Don Deedson;1
Louie Annesley;1
Lovro Majer;1
Loïs Openda;1
Luc De Fougerolles;3
Luca De La Torre;2
Luca Robert Scanlon;1
Lucas Beraldo;1
Lucas Bergvall;1
Lucas Cepeda;1
Lucas Chávez;1
Lucas Digne;3
Lucas Hernández;1
Lucas Macazaga;1
Lucas Moura;1
Lucas Paquetá;5
Lucas Pimenta;3
Luis Advíncula;1
Luis Chávez;3
Luis Díaz;2
Luis Haquín;2
Luis Malagón;1
Luis Palma;1
Luis Romo;2
Luis Santamaría Crisanto;2
Luis Sinisterra;1
Luis Suárez;1
Luka Chalwell;1
Luka Ivanušec;2
Luka Jović;2
Luka Lochoshvili;2
Luka Modrić;3
Luka Sučić;1
Luka Vušković;1
Lukáš Červ;1
Lumbardh Dellova;2
Lyle Foster;2
László Bénes;1
László Kleinheisler;1
Léo Ortiz;1
Léo Pereira;1
Maata Magassa;2
Mabululu;1
Maestro;2
Magamed Uzdenov;1
Mahamadou Doumbia;2
Mahamadou Nagida;1
Mahboob Hanifi;1
Mahdi Al-Humaidan;1
Mahdi Torabi;1
Mahmood Al-Mushaifri;1
Mahmoud Abu Warda;1
Mahmoud Al Aswad;1
Mahmoud Al-Mardi;2
Mahmoud Saber;1
Mahmoud Trézéguet;4
Majid Rashid;1
Maksim Glushenkov;1
Maksim Paskotsi;1
Maksim Petrov;1
Maksim Samorodov;3
Malibongwe Khoza;1
Malick Thiaw;1
Mamadou Sarr;1
Mamadou Sy;1
Manfred Ugalde;4
Manu Koné;5
Manuel Akanji;4
Manuel Baldé;1
Manuel Battistini;1
Manuel Bleda Rodriguez;1
Manuel Ugarte;8
Manzur Okwaro;1
Marc Guéhi;2
Marc Rebés;1
Marcel Ratnik;1
Marcel Ruíz;2
Marcel Sabitzer;3
Marcelino Núñez;3
Marcello Mularoni;1
Marcelo Asumu;1
Marcelo Brozović;4
Marcelo Díaz;1
Marcelo Suárez;1
Marcin Bułka;1
Marco Domínguez;2
Marco Ilaimaharitra;1
Marcos López;5
Marcos Senesi;1
Marcus Meloni;2
Marcus Thuram;1
Marin Petkov;1
Marin Pongračić;1
Mario Lemina;1
Mario Mitaj;2
Mario Pašalić;2
Marius Marin;3
Marko Arnautović;2
Marko Farji;1
Marko Janković;2
Marko Pjaca;1
Marko Regža;1
Marko Simun;1
Marko Stamenić;5
Marko Tuci;2
Markus Poom;1
Marlon Ramírez;1
Marouane Louadni;4
Marouane Sahraoui;1
Martin Baturina;1
Martin Boyle;1
Martin Erlić;1
Martin Georgiev;1
Martin Valjent;1
Martín Krug;1
Martín Távara;1
Marvelous Nakamba;3
Marvin Anieboh;1
Marvin Martins;1
Marvin Omondi;2
Marwan Al Hbeishi;1
Marwan Attia;7
Marwane Saadane;1
Mason Holgate;2
Mateo Chávez;1
Mateo Kovačić;2
Mateo Retegui;1
Matheus Uribe;2
Mathews Banda;1
Mathias Olesen;2
Mathieu Choinière;4
Mathías Olivera;3
Matko Miljevic;1
Mats Wieffer;1
Matt Turner;1
Matteo Ahlinvi;1
Matteo Vitaioli;1
Matteo de Brienne;1
Matthew Freese;1
Matthew Garbett;2
Matthew Guillaumier;1
Matti Peltola;3
Mattias Lamhauge;1
Mattéo Guendouzi;1
Matvey Lukin;1
Matías Catalán;2
Matías Galarza;2
Matías Lazo;1
Matías Rojas;1
Matías Sepúlveda;1
Matías Viña;2
Maung Maung Lwin;1
Mauricio Cerritos;2
Mauricio Isla;2
Mauro Brasil;1
Mauro Zijlstra;1
Max Ebong;1
Max Johnston;1
Max Llovera;1
Maxim De Cuyper;2
Maximilian Mittelstädt;2
Maximilian Wöber;1
Mazen Simbo;1
Mbaye Yaya Ly;2
Mbekezeli Mbokazi;1
Meddie Kagere;1
Medon Berisha;1
Mehdi Al Harrar;1
Mehdi Boudjemaa;1
Mehdi Ghayedi;1
Mehdi Merghem;1
Mehdi Taremi;1
Mekan Saparov;1
Melayro Bogarde;1
Melky Ndokomandji;1
Melvin Doxilly;1
Memphis Depay;3
Merchas Doski;1
Merih Demiral;4
Mert Günok;1
Mert Müldür;2
Merveille Ndockyt;1
Meschak Elia;2
Miambaye Fourdeau;1
Michael Boxall;2
Michael Gregoritsch;1
Michael Hector;1
Michael Ngadeu;1
Michel Termanini;4
Mick Onfia;2
Mick Ossete;1
Mido Gaber;1
Miguel Almirón;2
Miguel Araujo;2
Miguel Borja;1
Miguel Changa Chaiwa;1
Miguel Merentiel;1
Miguel Navarro;4
Miguelito;2
Mihail Caimacov;2
Mihail Stefan;1
Mihály Kata;1
Mikael Anderson;2
Mikael Ellertsson;2
Mike Kibwage;1
Mike Maignan;2
Mikel Merino;1
Mikel Oyarzabal;2
Milad Mohammadi;2
Milan Ristovski;1
Milan Vukotić;1
Milan Škriniar;1
Miles Robinson;2
Miliano Jonathans;1
Milot Rashica;1
Miloš Brnović;1
Miloš Veljković;1
Milson;1
Milutin Osmajić;2
Min-woo Seo;1
Ming-Him Sun;1
Mingiyan Beveev;2
Mirlind Daku;1
Miro Muheim;1
Miro Tenho;3
Mirza Beknazarov;2
Mitchell Duke;1
Moaath Al Dhafiri;1
Moctar El Hacen;1
Modestas Vorobjovas;1
Mohamad Haidar;2
Mohamad Safwan;1
Mohamed Abooja;1
Mohamed Ahmed Osman;1
Mohamed Al-Rasheed;1
Mohamed Ali Ben Romdhane;2
Mohamed Amine Madani;1
Mohamed Amoura;3
Mohamed Bangoura;1
Mohamed Belhadj Mahmoud;1
Mohamed Boulacsout;2
Mohamed Camara;2
Mohamed Chibi;1
Mohamed El-Shenawy;3
Mohamed Elneny;1
Mohamed Hany;2
Mohamed Hussein;1
Mohamed Kanno;3
Mohamed Kasri;1
Mohamed Moufid;2
Mohamed Naceur Almanai;2
Mohamed Omar;1
Mohamed Pape Moctar M'Baye;1
Mohamed Rabie Hrimat;2
Mohamed Saeed Ahmed;4
Mohamed Soumah;2
Mohamed Tijani;3
Mohamed Tougai;1
Mohamed Touré;1
Mohamed Zougrana;2
Mohammad Abu Fani;1
Mohammad Al-Hallaq;1
Mohammad Alsalkhadi;1
Mohammad Daham;1
Mohammad Ghorbani;1
Mohammad Mohebi;3
Mohammed  Anez;1
Mohammed Al Ghafri;1
Mohammed Khalil;1
Mohammed Muntari;1
Mohammed Saleh;1
Mohammednur Nasir;1
Mohannad Abu Taha;2
Mohau Nkota;1
Moise Bombito;4
Moisés Caicedo;9
Moisés Villarroel;1
Mokonzi Katumbwe;1
Montassar Talbi;1
Moon Seon-min;2
Morlaye Sylla;1
Morten Hjulmand;5
Moses Shidolo;1
Moses Simon;2
Mosha Gaolaolwe;1
Mostafa Matar;2
Mostafa Mohamed;1
Mostafa Shobeir;1
Mothusi Johnson;2
Motlomelo Mkwanazi;1
Mouctar Diakhaby;1
Mousa Tamari;1
Moussa Cissé;2
Moussa Kassa Moudou;1
Moustapha Djimet;2
Mpendulo Tfomo;1
Muhamed Tia Asad;1
Muhammed Sanneh;2
Muhannad Eto'o;1
Muharrem Jashari;1
Muhsen Al Ghassani;2
Mukhammejan Seisen;1
Murillo;1
Musab Al Juwayr;1
Mustafa Eskihellaç;1
Mustafa Saadoon;4
Muteb Al-Mufarrij;1
Mxolisi Simiso Manana;2
Myenty Abena;2
Mykola Matvienko;1
Mykola Shaparenko;1
Myles Beerman;1
Márton Dárdai;3
Märten Kuusk;2
Nader Ghandri;1
Nadiem Amiri;1
Nahitan Nández;6
Nahjib Guerra;1
Nahuel Ferraresi;2
Nahuel Molina;3
Nail Umyarov;1
Naimoudine Assane;1
Nanani Infren;1
Nando Pijnaker;1
Naoufel Khacef;1
Narciso Orellana;1
Nasser Al-Dawsari;1
Nasser Al-Rawahi;3
Nasser Khadar;1
Nassim Ahmed;1
Nassor Saadun Hamoud;2
Nathan Aké;1
Nathan Collins;1
Nathan Harriel;1
Nathan Ordaz;1
Nathaniel Atkinson;1
Nathaniel Jalloh;1
Nathaniel Méndez-Laing;1
Nawaf Boushal;2
Nayef Aguerd;2
Nayel Mehssatou;1
Nazirrudin Bin Haji Ismail;1
Nazrul Nazari;1
Naïm Sliti;1
Nduka Junior;1
Neco Williams;2
Nedim Bajrami;2
Neliso Senzo Dlamini;3
Nemanja Maksimović;1
Neo Maema;2
Nestory Irankunda;2
Ngero Kaanjuka Katua;2
Nicholas Mickelson;1
Nicholas Pozo;2
Niclas Eliasson;1
Niclas Füllkrug;1
Nico Elvedi;4
Nico Schlotterbeck;5
Nicola Zalewski;3
Nicolae Stanciu;4
Nicolas Fonseca;2
Nicolas Giacopetti;1
Nicolas Hasler;1
Nicolas Jackson;1
Nicolas Pépé;1
Nicolas Raskin;2
Nicolas Seiwald;1
Nicoli Brathwaite;1
Nicolás González;2
Nicolás Otamendi;3
Nicolás Samayoa;4
Nicolás Tagliafico;4
Nicolás de la Cruz;2
Nicolò Barella;5
Nicolò Fagioli;1
Nicolò Rovella;1
Nicușor Bancu;3
Nihad Mujakić;2
Niilo Mäenpää;1
Nikita Korzun;2
Niko Sigur;2
Nikola Katić;5
Nikola Krstović;1
Nikola Milenković;3
Nikola Vasilj;1
Nikola Vlašić;1
Nikola Šipčić;1
Nikolai Alho;1
Nizar Mahmoud Al-Rashdan;2
Nkosinathi Sibisi;2
Nkosingiphile Shongwe;1
Noa Lang;1
Noeh Hernández;1
Noor Al-Deen Al Rawabdeh;1
Norbert Gyömbér;1
Nouh Mohamed El Abd;1
Nouhou Tolo;4
Nuno Mendes;1
Nuno Tavares;1
Nuraly Alip;2
Nélson Semedo;1
Néstor Giménez;1
Oday Kharoub;2
Odiljon Khamrobekov;1
Odilon Kossounou;1
Odmar Færø;1
Ofir Davidzada;1
Okay Yokuşlu;1
Okocha Rashid;1
Ole Romeny;1
Olebogeng Ramotse;1
Oleg Ocheretko;1
Oleg Reabciuk;1
Oleksandr Zinchenko;2
Oleksiy Gutsulyak;1
Olger Escobar;1
Olimpiu Moruțan;1
Oliver Gerbig;1
Olivier Verdon;1
Ollie Watkins;1
Omaatla Kebatho;2
Omar Abdoul Anziz;1
Omar Al Khoja;1
Omar Alderete;2
Omar Khribin;1
Omar Marmoush;1
Omar Mascarell;1
Ondrej Duda;2
Onyemaechi Bruno;1
Orel Mangala;2
Orgyen Wangchuk Tshering;1
Orion McHugh;1
Orkun Kökçü;6
Orlando Galo;3
Orlando Mosquera;1
Osama Al Shreimy;1
Oscar Castellanos;1
Oskar Pietuszewski;1
Osée Ndombele;2
Otar Kakabadze;1
Otar Kiteishvili;1
Oumar Diakité;1
Oumar Ngom;2
Ousmane Camara;1
Ousmane Dembélé;2
Ousmane Drame;1
Oussama Haddadi;1
Oussama Lamlioui;2
Oussama Tannane;1
Ousseni Badamassi;2
Ousseynou Fall Seck;1
Owen Tembo;1
Ozan Kabak;1
Oğuz Aydın;1
Pablo Ganet;1
Pablo Gavi;1
Paddy McNair;1
Panagiotis Retsos;2
Paolo Guerrero;2
Pap Chol;1
Papa Ndiaga Yade;2
Pape Gueye;4
Papy Kokeleya;2
Parfait Bizoza;1
Parfait Guiagon;1
Parvizdzhon Umarbaev;2
Patiwat Khammai;1
Patrick Agyemang;1
Patrick Andrade;2
Patrick Wimmer;5
Patrick Yazbek;1
Patrik Kristal;1
Patrik Mercado;1
Patrik Schick;2
Pau Babot;1
Paul Mbong;1
Paul Onuachu;1
Paul Smyth;2
Paulius Golubickas;1
Paulo Díaz;2
Paweł Dawidowicz;1
Pedro Altán;1
Pedro Aquino;1
Pedro Bondo;1
Pedro Miguel;1
Pedro Neto;4
Pedro Porro;2
Pedro Vite;2
Peeradol Chamratsamee;1
Pema Zangpo;1
Pepo Santos;2
Petar Stojanović;3
Petar Sučić;3
Peter Chan;2
Peter Pearson;1
Peter Shalulile;1
Philani Thabo Mkhontfo;1
Philip Tarnue;1
Philipp Lienhart;2
Philiso Newman;1
Phillipp Mwene;6
Pico;1
Piero Hincapié;2
Pierre Kalulu;1
Pierre Landry Kaboré;1
Pierre-Emerick Aubameyang;2
Pierre-Emile Højbjerg;6
Pijus Širvys;1
Piotr Zieliński;2
Prince Dube;2
Prince Kwabena Adu;1
Prince Mouandza;1
Promise David;2
Przemysław Frankowski;1
Przemysław Wiśniewski;3
Quinn Sullivan;1
Rado Rabemananjara;2
Radoslav Kirilov;1
Rafael Leão;2
Rafael Romo;1
Rafael Struick;1
Rafael Uzcátegui;1
Rafik Belghali;2
Rahman Dashdamirov;1
Raivis Jurkovskis;1
Rajaei Ayed;3
Rakib Hossain;1
Ralph Priso;1
Ramadan Agab;1
Ramahlwe Mphahlele;1
Ramazan Orazov;1
Rami Rabia;3
Ramil Sheydaev;1
Ramin Rezaeian;1
Ramiro Vaca;3
Ramiz Zerrouki;2
Ramkel James;2
Ramy Bensebaini;4
Ramzi Safouri;1
Ramón Juárez;1
Randal Kolo Muani;3
Randy Nteka;1
Raouf Mroivili;1
Raphael Onyedika;1
Raphinha;3
Rashid Toha;1
Rasmus Kristensen;3
Rasmus Peetson;1
Rasmus Schüller;1
Rayan Aït-Nouri;2
Raymond Tochukwu;1
Raúl Jiménez;2
Reda Hani;1
Redouane Berkane;1
Reggie Lambe;1
Reinildo Mandava;1
Remo Freuler;2
Renat Dadaşov;1
Renato Nhaga;1
Renato Steffen;1
Renato Tapia;1
Renato Veiga;1
Renzo Garcés;2
Reshat Ramadani;1
Rey Manaj;1
Reyniel Perdomo;1
Rhys Norrington-Davies;1
Riaan Hanamub;1
Ricardo Adé;2
Ricardo Rodríguez;1
Riccardo Calafiori;1
Riccardo Orsolini;1
Richard Bazombwa;1
Richard Jensen;1
Richard King;1
Richard Mbulu;1
Richard Ortiz;1
Richard Ríos;2
Richarlison;1
Richie Laryea;6
Ricky Kambuaya;1
Rico Henry;1
Ridgeciano Haps;1
Rigoberto Rivas;1
Riley McGree;1
Rio Cardines;1
Ritsu Doan;2
Riyad Mahrez;2
Rizky Ridho;1
Robert Andrich;6
Robert Ivanov;6
Robert Lewandowski;2
Roberto Carlos Dominguez;1
Roberto Di Maio;1
Roberto Fernández;3
Roberts Ozols;1
Roberts Savaļnieks;2
Roberts Veips;1
Robin Gosens;1
Robin Hranáč;1
Robin Le Normand;8
Robin Lod;1
Robson Matheus;1
Rodolfo Aloko;1
Rodri;3
Rodrigo Aguirre;2
Rodrigo Bentancur;5
Rodrigo De Paul;2
Rodrigo Echeverría;1
Rodrigue Kossi;1
Roger Ibañez;1
Roger Lee;1
Roger Martínez;1
Rogers Torach;1
Romano Schmid;2
Romaric Amoussou;1
Romell Quioto;1
Rommel Bynoe;1
Ronald Araújo;1
Ronaldo Webster;1
Ronwen Williams;1
Rooney Onyango;1
Rosario Latouchent;1
Rosen Bozhinov;1
Rovien Ostiana;1
Ruairi McConville;1
Rubilio Castillo;1
Rubio Rubin;1
Rubén Vargas;2
Rudy Clavel;1
Rudy Muñoz;2
Rudy Varane;1
Ruslan Khailoev;1
Ruslan Litvinov;1
Ruslan Malinovskyi;2
Rustam Ahmadzada;2
Rustam Ashurmatov;1
Ryan Camenzuli;1
Ryan Christie;3
Ryan Manning;3
Ryan Mendes;3
Ryunosuke Sato;1
Rúben Dias;4
Rúben Neves;3
Răzvan Marin;1
Rıdvan Yılmaz;1
Saad Natiq;1
Sabir Bougrine;1
Sadegh Moharrami;1
Sadio Mané;2
Saeid Ezatolahi;2
Safuwan Baharudin;1
Sagiv Jehezkel;1
Sahmkou Camara;1
Saif Jaddour;2
Salaheldin Adil;3
Salih Özcan;4
Salim Jamal Magoola;1
Salomon Tweh;1
Salomón Rondón;1
Sam Adekugbe;1
Samadou Attidjikou;1
Samaké Nzé Bagnama;1
Saman Ghoddos;2
Samer Jondi;1
Samet Akaydın;3
Sami Al Sanea;1
Samkelo Ginindza;1
Sampson Dweh;1
Samuel Essende;1
Samuel Fabrice Brasse;1
Samuel Moutoussamy;3
Samuel Pancotti;1
Samuel Silvera;2
Samuel Sosa;1
Samuel Taban;1
Samy Jr Merheg;2
Sander Berge;1
Sandro Tonali;1
Sandro Trémoulet;1
Sandro Wolfinger;1
Santiago Bueno;1
Santiago Giménez;1
Santiago Mele;1
Santiago van der Putten;1
Santos Ortiz;1
Sapargulyyev Arzuvguly;1
Sarach Yooyen;2
Sardar Azmoun;1
Sarpreet Singh;1
Saud Abdulhamid;3
Saud Al Hoshan;1
Sayed Baqer Mahdy;1
Sayed Dhiya Saeed;1
Saïd Bakari;1
Saúl Coco;1
Saša Lukić;3
Scott McKenna;1
Scott McTominay;3
Sead Kolašinac;3
Sebastian Berhalter;1
Sebastian Walukiewicz;1
Sebastián Cáceres;1
Seid Korać;3
Seifeddine Jaziri;1
Seiya Maikuma;1
Sekhoane Moerane;1
Semi Ajayi;2
Sergey Maliy;1
Sergey Muradyan;1
Sergio Peña;2
Sergio Rochet;1
Sergiu Plătică;1
Serigne Koïté;1
Serikzhan Muzhikov;1
Sessi D'Almeida;2
Seung-Won Jeong;1
Severin Schlegel;1
Seyni Mbaye Ndiaye;1
Shafik Nana Kwikiriza;1
Shah Shahiran;1
Shahrom Samiev;2
Shakhrudin Magomedaliyev;3
Shamammed Khydyrov;1
Shamar Nicholson;1
Shanazar Tirkishov;1
Shangyuan Wang;2
Shao-Chi Fong;1
Shaq Moore;1
Shaquille Riley Pinas;2
Sharif Mukhammad;1
Shawal Anuar;2
Shea Charles;1
Sheddy Barglan;1
Sheikh Sesay;1
Sherel Constancio Floranus;2
Sheriff Sinyan;1
Shiqin Wang;1
Shoja Khalilzadeh;1
Show;1
Sibongakhonkhe Quiton;1
Sidny Lopes Cabral;1
Sifiso Matse;1
Silvan Widmer;7
Simanga Masangane;1
Simon Amin;1
Simon Kjær;1
Simon Lüchinger;1
Simon Msuva;1
Sinoxolo Kwayiba;1
Siphephelo Sithole;3
Siphesihle Mkhize;2
Sipho Mbule;2
Siyabonga Ngezana;3
Slobodan Rubežić;1
Sobhi Al Mabrouk;1
Sofiane Bendebka;1
Sofyan Amrabat;2
Solomon Kvirkvelia;1
Sontje Hansen;1
Soufiane Bayazid;1
Soufiane Rahimi;1
Stanley Nwabali;3
Stefan Aškovski;1
Stefan Gartenmann;1
Stefan Lončar;2
Stefan Mitrović;2
Stefan Posch;7
Stefan Savić;1
Steffen Yeates;1
Stefán Teitur Þórðarson;1
Stephan  De Robillard;1
Stephan El Shaarawy;1
Stephane Keller;1
Stephen Eustaquio;3
Steve Mounié;2
Steven Mensah;1
Steven Moreira;1
Steven Nador;1
Stheven Robles;2
Stjepan Radeljić;1
Stole Dimitrievski;2
Stopira;1
Strahinja Eraković;3
Strahinja Pavlović;2
Sulaiman Abdulghafour;1
Sultan Al-Brake;1
Sultanbek Astanov;1
Suphanan Bureerat;1
Svit Sešlar;1
Sydney Nyiko Mobbie;1
Sylvester Owino;2
Séamus Coleman;2
Taddeo Lwanga;1
Tahnoon Alzaabi;1
Tajon Buchanan;2
Takefusa Kubo;1
Takumi Minamino;2
Tamer Seyam;2
Tamimou Ouorou;1
Tani Oluwaseyi;3
Taras Mykhavko;1
Tarik Muharemović;2
Tariq Kazi;1
Tasos Bakasetas;1
Tawanda Chirewa;1
Tawanda Maswanhise;1
Teboho Mokoena;4
Teddy Teuma;3
Teenage Hadebe;1
Teerasak Poeiphimai;1
Telasco Segovia;3
Telmo Arcanjo;2
Temirlan Anarbekov;1
Terrence Mashego;3
Teva Lossec;1
Thabang Sesinyi;2
Thabiso Kutumela;1
Thalente Mbatha;1
Thani Gharib Al Rushaidi;2
Thatayaone Ditlhokwe;1
Theo Hernández;2
Thiago Almada;1
Thierno Ballo;1
Thomas Galdames;1
Thomas Meunier;2
Thomas Partey;2
Théo Bongonda;1
Tihomir Kostadinov;2
Tijjani Reijnders;2
Tim Kleindienst;1
Timi Max Elšnik;2
Timothy Boulet;1
Timothy Castagne;1
Titas Milašius;1
Tjay De Barr;1
Tomas Galvez;1
Tomas Kalinauskas;1
Tomas de Sousa Moreira;1
Tommaso Zafferani;1
Tommy Iva;1
Tommy Smith;1
Tomás Rincón;1
Tomáš Souček;1
Toni Kroos;2
Tony Ralston;2
Topi Keskinen;1
Toral Bayramov;2
Trai Hume;3
Travis Joseph;1
Trofim Melnichenko;1
Troy Parrott;1
Tsepang Sefali;1
Tsepo Toloane;1
Tshepang Moremi;2
Tsuyoshi Watanabe;2
Tyler Adams;3
Tyler Bindon;4
Tymon Machope;1
Tyrese Fornah;1
Tyrese Spicer;1
Tyron Perret Gentil;1
Tze-Nam Yue;1
Tzu-Ming Huang;1
Tó Carneiro;2
Uche Ikpeazu;2
Unai Simón;2
Uriel Antuna;1
Uğurcan Çakır;3
Vadim Pigas;1
Vahid Selimović;1
Valentin Mihăilă;1
Valentin Paltsev;1
Valeri Gromyko;1
Valeriy Kichin;1
Vanderson;1
Vanja Drkušić;2
Vas Nuñez;1
Vavá Pequeno;2
Veldin Hodža;1
Veljko Birmančević;1
Vicente Pizarro;1
Victor Bogaciuc;1
Victor Froholdt;1
Victor Kristiansen;2
Victor Lekhal;1
Victor Nelsson;2
Victor Osimhen;2
Victor Pálsson;1
Victor Rofino;1
Vidinho;1
Viktor Johansson;1
Vilius Armalas;1
Viljormur Davidsen;1
Ville Koski;1
Vince Fred;1
Vincent Emmanuel;1
Vincent Harper;1
Vincent Sierro;1
Vinícius Júnior;3
Virgil van Dijk;5
Visar Musliu;1
Vitaliy Mykolenko;1
Vitinha;1
Vlad Dragomir;1
Vladislav Baboglo;1
Vladislav Kalinin;1
Vladislavs Gutkovskis;1
Vladyslav Vanat;1
Vlasiy Sinyavskiy;1
Vykintas Slivka;1
Víctor Dávila;3
Vítězslav Jaroš;1
Wai Lin Aung;1
Wajdi Kechrida;1
Waldemar Anton;1
Waldimison;1
Waleed Al Hayam;2
Walid El Karti;1
Walid Shour;1
Walieldin Khidir;1
Wancha Tut;1
Wanchai Jarunongkran;1
Wang Yudong;2
Wang Zhenao;1
Wanre Daikreo;2
Warmed Omari;1
Warren Caddy;1
Warren Madrigal;1
Warren Mellie;1
Warsama Hassan;1
Washington Navaya;1
Wataru Endo;1
Weerathep Pomphan;2
Wei Shihao;1
Wenneng Xie;5
Wesley;1
Weston McKennie;2
Wilder Cartagena;3
Wilfred Ndidi;3
Wilfried Singo;1
Wiliam Damba;1
Wilker Ángel;2
Willi Orbán;2
William Francois;1
William Gama;2
William Saliba;2
William Wilson;1
Willian Pacho;1
Willum Thor Willumsson;1
Willy Semedo;1
Wilson Chisala;1
Witiness Quembo;1
Wojciech Szczęsny;1
Woo-Young Jung;1
Wout Faes;1
Wout Weghorst;1
Woyo Coulibaly;1
Wu Lei;1
Xavi Simons;3
Yac Diori;1
Yahia Nader;1
Yahya Alghassani;1
Yahya Omary Zayd;2
Yaimar Medina;1
Yan Diomande;1
Yan Valery;2
Yan Vorogovskiy;1
Yang Zexiang;2
Yangel Herrera;3
Yannick Semedo;1
Yannis Kari;2
Yarden Shua;2
Yared Baye;1
Yaser Awad Boshara;2
Yasin Ayari;1
Yasser Ibrahim;2
Yassin Marei;1
Yassine Meriah;1
Yaw Annor;1
Yazan Al-Arab;1
Yazgylych Gurbanov;1
Ybraýym Mämmedow;1
Yeferson Soteldo;2
Yehor Yarmoliuk;1
Yerry Mina;1
Yetagesu Tariku;1
Yevgeniy Malashevich;1
Yhlas Toyjanov;1
Ylber Ramadani;2
Yoel Bárcenas;1
Yohan Roche;3
Yomar Rocha;1
Yong Woo Park;2
Yongjing Cao;1
Yordan Osorio;1
Yoshimar Yotún;1
Youcef Atal;1
Youness El Kaabi;1
Young-woo Seol;1
Youri Tielemans;2
Yousef Majed;1
Youssef Amyn;1
Youssef Belammari;1
Youssef Mehri;1
Youssouf Fofana;1
