jugador;partidos_amonestado
Diego Medina;1
Dimitar Mitov;1
Dimitar Mitrovski;1
Dimitri Kogbeto;1
Dimitrios Giannoulis;1
Dimitris Kourbelis;1
Diney Borges;2
Diogo Dalot;1
Diogo Jota;3
Dirk Carlson;1
Divine Lunga;2
Divine Teah;1
Djavan Anderson;1
Djawal Kaiba;1
Djed Spence;1
Djené;1
Djibrilla Kassali Djibo;1
Djigui Diarra;1
Djihad Bizimana;1
Dmitrijs Zelenkovs;1
Dokou Dodo;4
Domagoj Vida;1
Dominic Chanda;1
Dominik Livaković;1
Dominik Szoboszlai;2
Don Fanchette;1
Donald Guesset-Bangagbi;1
Donovan Thompson;1
Donyell Malen;1
Dor Peretz;1
Dor Turgeman;2
Dorgeles Nene;3
Dorian Hanza;1
Driton Camaj;1
Du-jae Won;1
Dudú;1
Duje Ćaleta-Car;4
Duke Abuya;1
Dylan Borge;1
Dylan Bronn;2
Dylan Escobar;1
Dániel Gera;1
Dániel Lukács;1
Dénes Dibusz;1
Désiré Doué;1
Dženis Burnić;3
Ebou Adams;1
Edgar Pujol;1
Edgaras Utkus;1
Edgardo Fariña;2
Edin Džeko;3
Edison Flores;2
Edmond Tapsoba;1
Edo Kayembe;2
Edoardo Colombo;1
Edson Castillo;1
Edson Álvarez;2
Eduard Bello;1
Eduardo Camavinga;6
Eduardo Guerrero;2
Eduardo Vargas;1
Eduards Daskevics;2
Eduards Emsis;1
Edvin Muratović;1
Edvinas Girdvainis;2
Edward Cedeño;1
Efraín Morales;1
Egor Khvalko;2
Ehsan Haddad;1
Ehsan Hajsafi;1
Ehsan Kari;2
Ehsoni Panshanbe;1
Eivind Helland;1
El Fardou Ben;1
El Hadary Ylan;1
Elbasan Rashani;1
Eli Dasa;1
Elias Mokwana;1
Elias Saad;2
Eliel Peretz;3
Eliesse Ben Seghir;1
Elio Capradossi;1
Elisha Owusu;2
Eliya Mandanji;1
Eljif Elmas;1
Elman Tagayev;1
Elseid Hysaj;3
Elvis Chipezeze;1
Elvis Claros;1
Elvis Rexhbeçaj;1
Emanuel Zünd;1
Emerson Mauricio;1
Emil Forsberg;1
Emil Krafth;1
Emil Tsenov;1
Emiliano Martínez;1
Emin Mahmudov;1
Emmanuel Anyama;1
Emmanuel Gono;1
Emmanuel Moungam;1
Emmanuel Vincent;2
Endrick;2
Enes Mahmutović;1
Enis Bardhi;2
Enner Valencia;1
Enock Ssebagala;1
Enrico Pepe;2
Enrique Russell;1
Enzo Boyomo;2
Enzo Fernández;1
Enzo Monteiro;2
Eray Cömert;3
Eric Mbangossoum;1
Erick Japa;2
Erick Noriega;1
Erick Pulgar;6
Erick Wiemberg;1
Erik;1
Erik Janža;3
Erik Lira;3
Erik Piloyan;2
Erkin Tapalov;1
Erling Haaland;1
Ermedin Demirović;4
Ermek Kenzhebaev;1
Ernan;1
Ervin Vaca;1
Erzhan Tokotaev;1
Estêvão;1
Ethan Ampadu;2
Ethan Galbraith;3
Etienne Vaessen;1
Etta Eyong;1
Evan Ferguson;1
Evan Ndicka;1
Evan de Haro;1
Evann Guessand;1
Everardo Rose;1
Evgeniy Morozov;1
Exequiel Palacios;1
Ezequiel Ham;1
Ezri Konsa;1
Fabian Rieder;1
Fabian Schär;1
Fabio Luque Notaro;1
Fabián Hormazábal;2
Fabián Ruiz;2
Fabrizio Peralta;1
Fabrício Bruno;2
Fabrício Garcia;1
Fahad Al-Hajeri;1
Fahamedul Islam;1
Faisal Abdul Bangal;1
Faisal Al-Badri;1
Fali Candé;1
Fanelo Mamba;1
Farhan Mohamed Ahmed;1
Farhan Zulkifi;1
Farid Chaal;1
Farrukh Sayfiev;2
Fawaz Ayedh Al Otaibi;1
Faïz Selemani;1
Federico Gatti;1
Federico Valverde;3
Fedor Lapoukhov;1
Feisal Salum Toto;4
Feliciano Jone Nenê;1
Felipe Loyola;4
Felix Horn Myhre;1
Felix Oberwaditzer;1
Fenohasina Gilles Razafimaro;1
Ferjani Sassi;2
Fernando Domingos;1
Fernando Nava;1
Fernán Faerron;2
Ferran Torres;2
Festy Ebosele;2
Fiacre Ntwari;1
Fidan Aliti;2
Filip Kostić;1
Filippo Berardi;1
Filippo Fabbri;2
Finn Azaz;1
Finn Surman;1
Firas Al-Buraikan;1
Firas Chaouat;1
Firew Getahun;1
Fiston Mayele;2
Fitina Ombolenga;1
Florent Muslija;1
Florian Bohnert;3
Florian Grillitsch;1
Florian Wirtz;4
Florin Niță;1
Florin Tănase;1
Flory Yangao;1
Folarin Balogun;2
Fotis Ioannidis;3
Francesco Pio Esposito;1
Francis De Vries;2
Francisco Calvo;4
Francisco Conceição;2
Franck Kessié;2
Franck Tchaouna;1
Francois Dulysse;1
Franjo Ivanović;1
Frank Magri;1
Frank Onyeka;2
Frankie Beckles;1
Frantzdy Pierrot;1
Freddy Góndola;2
Freddy Vargas;1
Fredy;2
Freybin Pagoada;1
Frédéric Nsabiyumva;1
Fábio Silva;1
Félix Torres;1
Gabadinho Mhango;1
Gabriel Jesus;1
Gabriel Magalhães;3
Gabriel Martinelli;1
Gabriel Oualengbe;1
Gabriel Suazo;7
Gabriel Villamil;2
Gael Akogo Esono;1
Gaius Makouta;1
Gao Tianyi;3
Gaoussou Diakite;1
Gape Mohutsiwa;3
Garry Rodrigues;1
Garven-Michee Metusala;1
Gary Medel;2
Gehmat Al-Habashi;1
George Chokooka;1
George Saville;3
